idiom,sentence,gold translation
سوراخ دعا را گم کردن,"گفتم جناب مثل اینکه سوراخ دعا رو گم کردین از من چیزی به شما نمیرسه اینجا چیزی که شما میخواین به دست نمیارین","i said sir, it seems like you are barking up the wrong tree. I'm not able to help you and you won't get what you want here."
خاک توسری,"حواست باشه اگه با دختره خاک توسری بکنی باید باهاش ازدواج کنی","be careful, if you have sex with that girl, you'll have to marry her."
حال کسی را گرفتن,"مدیر این بار به او به شدت اخطار داد و حسابی حالش را گرفت","This time, the manager gave him a stern warning and really put him in his place."
نازک نارنجی بودن,"در محیط کار باید سرسخت بود کسی که نازک نارنجی باشه پیشرفت نمیکنه","in the work environment, you need to be tough. Sensitive people don't make any progress."
اب در هاون کوبیدن,"خوبی در حق مردمان پست اب در هاون کوبیدن است","showing kindness to lowly people is pointless effort."
حالی به حالی شدن,"سخن ران با لحن پرشورش همه ی شنوندگان را حالی به حالی کرد","the speaker, with his impassioned tone, deeply affected all the listeners."
تافته ی جدابافته,"چرا باید بیش از دیگران به او حقوق بدهیم مگر تافته ی جدابافته است","why should we pay him more than others? is he better than the others?"
کسی را به حال خود گذاشتن,"هروقت دیدی لجبازی می کنه اونو به حال خودش بذار تا دوباره حالش خوب بشه","whenever you see him being stubborn, give him time until he feels better."
به داد کسی رسیدن,"نزد قاضی رفت و گفت به دادم برس این دزدها همه چیزم را بردند","he went to the judge and said, help me, these thieves have taken everything i've got."
گر تو بهتر می زنی بستان بزن,"خودش اصلا توان درک ساده ترین چیزها را ندارد اما مدام به کار دیگران ایراد می گیرد کسی نیست به او بگوید گر تو بهتر می زنی بستان بزن","he doesn't have the ability to comprehend the simplest things himself, but he's always criticizing others' work. Someone should remind him that if you can do it better, then do it yourself."
حال کسی به هم خوردن,"یک دفعه حالش به هم خورد و افتاد روی زمین.","he suddenly became nauseous and fell to the ground."
خود را به ان راه زدن,"هر وقت در مواقع حساس به چیزی می رسیدم خودم را می زدم به ان راه یعنی چیزی ندیده ام","whenever I reached something in sensitive situations, i would pretend not to notice, as if i hadn't seen anything."
راه انداختن کسی,"اول مشتری ها رو راه بنداز بعد بیا پیش من باهات کار دارم","first, handle the customers' requests and then come to me, i need to talk to you."
زحمت را کم کردن,"ان قدر پرحرفی کرد و مهمان ها را اذیت کرد که زحمت انها را کم کرد","he talked so much and annoyed the guests that made them leave."
مورچه چیه که کله پاچه ش باشه,"اخه دوست عزیز از این مقدار کم حقوق رو که نمی شه پس انداز کرد مورچه چیه که کله پاچه ش باشه","my dear friend, this small amount of salary is not enough to save anything. It is so small that you cannot count on it."
به تخم کسی,"به تخمم که نمی خواد دیگه با ما معاشرت کنه","i don’t care if he doesn't want to socialize with us anymore."
لب ولوچه ی اویزان,"میخواستیم به کنار دریاچه برویم و زیر افتاب دراز بکشیم اما باران شدیدی گرفت و ما با لب ولوچه ی اویزان برگشتیم","We wanted to go to the lake and lie under the sun, but it started raining heavily, and we returned dissapointed."
کلاه سر کسی رفتن,"او از مردم برجسته ی زمان خود بود و نمی خواست در این دنیای فریبنده کلاه سرش رفته باشد","he was a prominent person in his time and he did not want to be fooled in the deceptive world."
اب پاکی روی دست کسی ریختن,"مدیر گفت با کمال تاسف باید اعلام کنم که شرکت پولی برای پرداخت دستمزدهای عقب افتاده ندارد و با این حرف اب پاکی را روی دست همه ریخت","the manager said that regretfully the company does not have the money to pay back wages and this statement, destroyed everyone's hopes."
سر کسی را زیر اب کردن,"به هوای شکار و خوش گذرانی او را به کوهستان بردند و سرش را زیر اب کردند","for the sake of hunting and having fun, they took him to the mountains and killed him in secret."
نم پس ندادن,"بازجوها بارها او را برای اعتراف گیری و پی بردن به نام دوستانش شکنجه کردند اما او به هیچ وجه نم پس نداد","interrogators tortured him many times to force him to confess and discover the names of his friends, but he remained silent and didn’t give them any information.."
دولاپهنا حساب کردن,"عباس اقا خیلی با مردم خوب رفتار میکرد و به بعضی از مشتریان دائمی اش هم نسیه می داد اما اگر کسی حواسش نبود دولاپهنا حساب می کرد","Abbas Aghia treated people kindly and even used to give some of his regular customers items on credit but if someone wasn’t paying attention, he would overcharge them."
پای کسی نشستن,"زن با همه ی هرزگی های شوهرش کنار امد و پای او نشست تا مرد خودش پشیمان شد","the wife, despite her husband's prostitution, waited patiently until he regretted his actions."
مار خوش خط وخال,"او مار خوش خط وخالی بود که نقشه های خائنانه اش را پشت ظاهر زیبایش پنهان می کرد","he was deceptive, hiding his treacherous plans behind his beautiful appearance."
اب را گره زدن,"تو نمی توانی از پس این ادم بربیایی اب را گره می زند","you can't handle this guy, he's so cunning and always playing tricks."
حال گیری کردن,"حال گیری نکن دیگه می خوایم همگی بریم سینما و خوش باشیم تو هم باید بیای","Don’t rain on our parade, we all want to go to the cinema and have fun, you should come too."
شب بیا باغ,"ماشینو می خوای بگیری بری دختربازی اره شب بیا باغ","you want to take the car to flirt with girls? you are over-demanding."
سر زبان ها افتادن,"تولیدکنندگان ان قدر تبلیغ می کنند تا اسم محصول شان را سر زبان ها بیندازند","manufacturers advertise to the point that their products become well-known."
بار خود را بستن,"وقتی بعد از چندین سال شاگردی پیش همشهری ها کاسبی را خوب یاد گرفت دکانی باز کرد و به سرعت بار خودش را بست","when he learned the trade well after several years of apprenticeship with his fellow townspeople, he opened a shop and quickly made a fortune for himself."
از خود مایه گذاشتن,"مهمانی بسیار خوب و گرمی بود و هیچ چیزی کم نبود به خوبی احساس می شد که صاحب خانه حسابی از خودش مایه گذاشته است","it was a very good and cozy party, nothing was lacking and it was clear that the host had tried his best effort."
باج به شغال دادن,"“پیغام دادم که “منو تهدید نکن من باج به شغال نمی دم هر کاری که دلت می خواد بکن","I sent a message saying, 'Don’t threaten me. I don’t give in to the demands of lowly people. Do whatever you want.'.”"
اب را گل الود کردن,"اب را گل الود می کنند تا به هدف های پلید خودشان برسند","They create confusion and disarray to achieve their vile goals."
قاپ کسی را دزدیدن,"سعی کن با مقامات عالیه ارتباط داشته باشی. با هرکس و هر عقیده موافق باش تا بهتر بتوانی قاپشان را بدزدی","try to get involved with high-ranking officials, agree with everyone and every belief so that you can deceive them more effectively."
ضرب شست نشان دادن,"باید یک ضرب شستی به این اقایان نشان بدهیم تا بفهمند این کار خیلی سخت تر از چیزی است که فکر میکنند","we need to show these gentlemen a display of strength so they understand that the task is much harder than they think."
باد به غبغب انداختن,"استاد بادی به غبغب انداخت و گفت این خارجی ها همه ی اختراعات خود را از روی نقش های تخت جمشید برداشته اند","the professor puffed up with pride and said, these foreigners have taken all their inventions from the drawings on the persepolis."
نشاشیدی شب درازه,"گفتم خوشبختانه بحران بانکی روی کار ما تاثیر بدی نگذاشته است اما او به جای ابراز خوشحالی گفت نشاشیدی شب درازه","i said, fortunately, the banking crisis has not badly affected our work, but instead of expressing happiness, he said, there’s still time for bad things to happen."
صغرا و کبرا چیدن,"عمو به قدری صغراوکبرا چید که خودش هم موضوع اصلی را فراموش کرد","The uncle arranged such a long introduction that he forgot the main subject himself."
تق و لق بودن,"این مدرسه ی بچه ها هم که تق ولقه یک روز معلم نیست روز بعد معلم هست ولی سخنرانیه","The kids' school is so disorganized—one day the teacher isn't there, and the next day the teacher is there but there's a speech."
زبان خوش سر کسی نمی شود,"این ادم اصلا زبان خوش سرش نمی شود یا باید خودت با او دعوا کنی یا پلیس را خبر کنی.","Being polite to this person doesn't work; you either have to argue with him yourself or call the police."
اشتهای کسی را کور کردن,"وقتی داشتیم غذا میخوردیم اینقدر شوخی های زشت کرد که اشتهای من کور شد","he made so many inappropriate jokes while we were eating that i lost my appetite"
توی هچل افتادن,"بدجوری توی هچل افتاده بودم و باید هرطور شده خودم را نجات می دادم","i was in big trouble and had to save myself in any way possible."
سروکله ی کسی پیدا شدن,"باز هم سروکله ی این ادم فضول پیدا شد","this nosy person showed up again."
سروگوش اب دادن,"بهتر است شما اول سروگوشی به اب بدهید و ببینید اینها چه برنامه ای دارند","it's better if you eavesdrop first and see what plans they have."
پابرهنه وسط حرف کسی دویدن,"اینقدر پابرهنه توی حرفم دوید که یادم رفت چی می خواستم بگم","he interrupted me so many times that i forgot what i wanted to say."
چانه ی خود را بند کردن,"پیرمرد چانه اش را بند کرده بود و قصد پایان دادن به صحبت هایش را نداشت.","the old man was chattering away and had no intention of ending his talk."
دل کسی لک زدن,"رک بگویم زمان زیادی بود که دلم برای یک غذای درست وحسابی لک زده بود","to be honest, i had been craving a proper meal for a long time."
اب شدن و در زمین فرورفتن,"همه ی خانه راگشتم ولی آن شی را پیدا نکردم اب شده بود و به زمین فرورفته بود","i searched the whole house but couldn't find that object; it had suddenly disappeared."
