idiom,sentence,gold translation
oil and water,"Yet he had made no secret of his opinion that women and boats were about as compatible as oil and water.","با اینحال او به هیچ عنوان نظر خود را در این مورد که زن ها و قایق هیچ سنخیتی با هم ندارند پنهان نکرد."
child's play,"Just rub in a little on your face every night and morning and make child's play out of keeping your skin looking young.","فقط هر صبح و شب مقدار کمی روی صورت خود بمالید و به راحتی پوست خود را جوان نگه دارید."
go for broke,"Heavy borrowing also encourages owners and managers to go for broke.","گرفتن قرض های سنگین همچنین مالکان و مدیران را تشویق می کند که ریسک های بزرگ کنند."
up and running,"The Legal Centre was up and running and ready for business.","مرکز حقوقی فعال و آماده کار است."
into thin air,"The wizard waved his magic wand and disappeared into thin air.","جادوگر عصای جادویی اش را تکان داد و ناپدید شد."
hit the nail on the head,"I've been having some quite intelligent guesses but no one's hit the nail on the head.","من چند حدس بسیار هوشمندانه زده ام اما هیچ کدام کاملا درست نبوده اند."
rise to the occasion,"As I say, it is the chorus which too often fails to rise to the occasion.","همانطور که من می گویم، این عموما گروه کر است که نمی تواند خود را با اوضاع تطبیق دهد."
like two peas in a pod,"The twins are like two peas in a pod.","دوقلو ها کاملا شبیه هم هستند."
work like a charm,"The trap worked like a charm.","تله فوق العاده عمل کرد."
have someone's back,"You can always rely on your parents to have your back.","همیشه می تواند به والدینت اعتماد کنی که هوایت را داشته باشند."
wipe the slate clean,"A new relationship presents you with the opportunity to wipe the slate clean.","یک رابطه جدید به تو این فرصت را می دهد که از نو شروع کنی."
round the clock,"The suspects were watched around the clock by surveillance teams.","مظنونین 24 ساعته توسط تیم های نظارت تحت نظر هستند."
when all is said and done,"But when all is said and done, what innovation requires is hard, focused, purposeful work.","به صورت کلی، آنچه نوآوری احتیاج دارد کار سخت، متمرکز و هدفمند است."
let someone down,"When I was sent to prison, I really felt I had let my parents down.","وقتی که به زندان فرستاده شدم واقعا احساس کردم که والدینم را ناامید کردم."
steal the show,"In Britain ’s first ever “presidential” television debate the youthful Nick Clegg stole the show.","در اولین مناظرات تلویزیونی ریاست جمهوری نیک کلگ جوان توجه همه را به خود جلب کرد."
slap on the wrist,"So instead of a slap on the wrist I got promoted to executive manager.","بنابرین به جای دریافت یک تذکر جزئی، به مقام مدیر اجرایی ارتقا پیدا کردم."
go the extra mile,"That hotel really goes the extra mile to make sure their guests feel comfortable.","این هتل واقعا تلاش زیادی می کند که اطمینان حاصل کند که مهمان هایش احساس راحتی کنند."
Move mountains,"Besides, I have great faith in the power of love to move mountains.","به علاوه من خیلی اعتقاد دارم که با قدرت عشق می توان کار های شگفت انگیزی کرد."
hold one's own,"She could always hold her own in political debates.","او هیچ وقت در بحث های سیاسی کم نمی آورد."
pull out all the stops,"Tony's hoping he 'll pull out all the stops on the final day tomorrow.","تونی امیدوار است که فردا، در روز نهایی تمام تلاشش را به کار گیرد."
let the sleeping dogs lie,"I know, doctor, but you see I'm all this time without pain and I think I 'll let sleeping dogs lie.","می دانم دکتر اما همانطور که می بینید من تمام این مدت هیچ دردی نداشتم و نمی خواهم پا روی دم شیر بگذارم."
touch a nerve,"She touched a raw nerve when she mentioned that job he didn't get.","وقتی به فرصت شغلی که او نتوانسته بود بگیرد اشاره کرد روی مساله حساسی دست گذاشت و او را ناراحت کرد."
put a damper on,"The uncertainty caused by this atmosphere put a damper on further developments of public transport in London.","عدم اطمینان ناشی از این جو، روند توسعه بیشتر حمل و نقل عمومی در لندن را کند کرد."
the grass is greener on the other side,"The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate.","وکیل همیشه حسرت زندگی دیگران را می خورد، پس شغلش را ترک کرد تا مدرک MBA بگیرد."
go to town,"He had been held scoreless for the first twenty - five minutes of the game but certainly went to town afterwards!","او در بیست و پنج دقیقه اول بازی هیچ امتیازی کسب نکرد اما بعد از آن واقعا گل کاشت."
keep a low profile,"No one would blame you if you wanted to keep a low profile.","هیچ کس برای اینکه می خواهی آفتابی نشوی تو را سرزنش نمی کند."
head over heels,"I was only 19 when I first fell head over heels for Don.","فقط نوزده سالم بود وقتی که عمیقا عاشق دون شدم."
rattle someone's cage,"Don't worry about what he said, he was just trying to rattle your cage.","در مورد آنچه گفت ناراحت نباش، او فقط داشت تلاش می کرد که تو را اذیت کند."
follow in someone's footsteps,"Two of Comencini's daughters followed in his footsteps as filmmakers.","دو تا از دختران کومنچینی راه او را به عنوان فیلمساز دنبال کردند."
out cold,"He stood outside the door and cried and then went and drank until he was out cold.","او بیرون در ایستاد و گریه کرد، سپس رفت و انقدر نوشید تا بیهوش شد."
bite more than you can chew,"Am I right in suspecting you feel you've bitten off more than you can chew?","آیا درست حدس زدم که لقمه بزرگتر از دهنت برداشته ای؟"
get a grip,"She had to get a grip on her ridiculous emotions, had to keep reminding herself that it was only the club he wanted.","او باید احساسات مسخره اش را کنترل می کرد و به خودش یادآوری می کرد که او فقط دنبال کلوپ است."
wet behind the ears,"Luciano might have many fans, but he's still wet behind the ears.","لوسیانو شاید هواداران زیادی داشته باشد اما هنوز بی تجربه است."
go downhill,"I talked to friends in the system and things seem to be going downhill!","من با دوستانی که در سیستم هستند صحبت کردم و به نظر می رسد که اوضاع رو به افول است."
in the long run,"We can not live together in the long run if we do not talk to one another and know nothing of each other.","ما نمی توانیم طولانی مدت با هم زندگی کنیم بدون اینکه با همدیگر صحبت کنیم و چیزی در مورد هم ندانیم."
no strings attached,"They also offered me a job at the end of it, but there were no strings attached to the scholarship.","آنها به من در انتها یک کار هم پیشنهاد دادند اما هیچ تعهدی نسبت به بورسیه تحصیلی وجود نداشت."
make a mountain out of a molehill,"They were too embarrassed or didn't want to make a mountain out of a molehill.","آنها یا خیلی شرمسار بودند یا نمی خواستند از کاه کوه بسازند."
hit a rough patch,"Sadly, he's going through a rough patch - and has bravely sought help.","لویی داشت ساختار خانواده سلطنتی را تغییر می داد و پسران بزرگش را دلواپس کرده بود."
teething troubles,"I have no doubt that, as with any new tax, there will be teething troubles.","شک ندارم که با هر مالیات جدید، مشکلات جدیدی نیز به وجود خواهند آمد."
spread oneself too think,"I realized I'd been spreading myself too thin so I resigned as secretary of the golf club.","متوجه شدم که خیلی خودم را خسته کرده ام، بنابراین از سمت دبیر باشگاه گلف استعفا دادم."
go with the flow,"Most of them just go with the flow, ending up as something like a gas fitter or a policeman.","در نهایت بیشتر آنها مانند بقیه چیزی مثل لوله کش یا پلیس می شوند."
